URL,Price,Rooms,Baths,Area,Lat,Lon,Floor,Finishing,Governate,Neighbourhood
https://aqarmap.com.eg/ar/listing/6227627-for-sale-red-sea-hy-lkwthr/,3780000,1,1,63,27.22871,33.834897,1,سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6095094-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3300000,1,1,66,27.218941,33.834897,1,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6091789-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3220000,1,1,70,27.218941,33.834897,3,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6445111-for-sale-red-sea-hurghada-resorts-one-7-resort-ronberg/,9600000,3,1,160,27.111423,33.818418,1,سوبر لوكس,البحر الأحمر,  منتجع وان سيفن 
https://aqarmap.com.eg/ar/listing/6095547-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,5850000,2,1,115,27.218941,33.834897,4,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6306598-for-sale-alexandria-sydy-bshr-sydy-bshr-bhry-gamal-abd-el-nasir-st/,3350000,3,1,125,31.262965,29.989683,16,سوبر لوكس,الاسكندرية,  شارع جمال عبد الناصر
https://aqarmap.com.eg/ar/listing/6353610-for-sale-cairo-new-cairo-ganob-el-akadamiya-south-academy-z/,7700000,3,2,200,30.034311,31.434385,1,سوبر لوكس,القاهرة الكبرى,  جنوب الاكاديميه (ز)
https://aqarmap.com.eg/ar/listing/6455354-for-sale-cairo-el-sheikh-zayed-city-bait-el-watan/,4900000,3,2,175,30.015287,30.978452,1,نصف تشطيب,القاهرة الكبرى,  بيت الوطن
https://aqarmap.com.eg/ar/listing/6379920-for-sale-cairo-new-cairo-el-banafsg-el-banafsag-omarat-al-gabri-st/,5500000,2,1,150,30.034311,31.461851,4,سوبر لوكس,القاهرة الكبرى,  شارع الجابري
https://aqarmap.com.eg/ar/listing/6227939-for-sale-cairo-new-cairo-el-banafsg-el-banafsag-9-ibrahim-saafan-st/,6000000,3,2,200,30.053331,31.467344,3,سوبر لوكس,الجيزة,  حي الكوثر
