URL,Price,State,Rooms,Baths,Area,Lat,Lon,Floor,Finishing
https://aqarmap.com.eg/ar/listing/6619851-for-sale-cairo-new-cairo-compounds-tag-city-origami-gardens-taj-city-compound/,"9,278,100 جنيه",,2,2,113,30.072348,31.401426,1,بدون تشطيب
https://aqarmap.com.eg/ar/listing/6627047-for-sale-cairo-faisal-el-tawabeq-el-mansheya-st/,"2,000,000 جنيه",القاهرة الكبرى / شارع المنشية,N/A,N/A,160,30.005774,31.154233,6,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6619509-for-sale-cairo-nasr-city-abou-dawoud-el-zaheri/,"25,000,000 جنيه",,5,4,550,30.06284,31.346494,13,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6620427-for-sale-cairo-new-cairo-madinaty-twelfth-zone-buildings-madinaty-b-12/,"4,360,000 جنيه",القاهرة الكبرى / مدينتي - بي 12,2,1,75,30.081855,31.670591,الارضي,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6620113-for-sale-cairo-new-cairo-el-narges-el-narges-4-wasef-ghaly-basha-st/,"9,000,000 جنيه",القاهرة الكبرى / شارع واصف غالي باشا,3,3,245,30.015287,31.445371,N/A,N/A
https://aqarmap.com.eg/ar/listing/6465630-for-sale-cairo-6th-of-october-hadaeq-october-tryq-hmd-zwyl/,"3,379,000 جنيه",القاهرة الكبرى / طريق احمد زويل,3,2,109,29.948675,31.055356,2,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6614329-for-sale-cairo-el-maadi-zahraa-el-maadi-zahraa-el-maadi-st/,"2,900,000 جنيه",القاهرة الكبرى / شارع زهراء المعادي,2,2,96,29.967712,31.280576,3,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6619849-for-sale-cairo-new-cairo-compounds-mwn-ryzydns-lmrsm-llttwyr/,"10,700,000 جنيه",القاهرة الكبرى / مون ريزيدنس - المراسم,N/A,N/A,147,30.034311,31.472837,N/A,N/A
https://aqarmap.com.eg/ar/listing/6620053-for-sale-cairo-new-cairo-el-yassamin-el-yasmeen-8/,"8,500,000 جنيه",القاهرة الكبرى / الياسمين 8,3,2,210,30.034311,31.439878,N/A,N/A
https://aqarmap.com.eg/ar/listing/6603280-for-sale-cairo-new-cairo-compounds-garden-heights-compound/,"5,700,000 جنيه",القاهرة الكبرى / كمبوند جاردن هايتس,3,2,183,29.977228,31.511289,3,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6614796-for-sale-cairo-new-cairo-el-andalous-al-andalus-1/,"3,050,000 جنيه",القاهرة الكبرى / الأندلس 1,3,2,180,29.99626,31.511289,N/A,N/A
https://aqarmap.com.eg/ar/listing/6614751-for-sale-cairo-new-cairo-dar-misr-dar-misr-el-andalous/,"3,600,000 جنيه",,3,3,150,29.977228,31.516782,الارضي,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6620137-for-sale-cairo-new-cairo-compounds-kmbwnd-fyldj-jyt-blm-hylz/,"11,000,000 جنيه",,3,3,210,30.015287,31.49481,N/A,N/A
https://aqarmap.com.eg/ar/listing/6619509-for-sale-cairo-nasr-city-abou-dawoud-el-zaheri/,"25,000,000 جنيه",,5,4,550,30.06284,31.346494,13,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6533808-for-sale-cairo-new-cairo-compounds-kmbwnd-lfwntyn-rkw/,"6,547,000 جنيه",,3,3,168,30.043821,31.533262,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6590801-for-sale-cairo-new-cairo-compounds-fifth-square/,"10,000,000 جنيه",القاهرة الكبرى / كمبوند فيفث سكوير - المراسم,3,3,168,30.053331,31.533262,4,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6113035-for-sale-cairo-new-cairo-compounds-sarai-club-views-sarai-compound/,"4,630,000 جنيه",القاهرة الكبرى / كلوب فيوز - كمبوند سراي,3,2,132,30.091361,31.698057,3,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6595777-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood/,"3,800,000 جنيه",,3,3,220,30.053331,31.555234,الارضي,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6618771-for-sale-cairo-el-sheikh-zayed-city-compounds-calm-residence-dcm/,"8,016,000 جنيه",القاهرة الكبرى / كالم ريزيدنس - دي سي ام,3,3,167,30.043821,31.016904,الارضي,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6610944-for-sale-cairo-6th-of-october-compounds-tiba-gardens/,"3,650,000 جنيه",,3,2,140,30.005774,30.972959,الارضي,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6630443-for-sale-qalyubia-banha-city-banha-city-farid-nada-st/,"2,500,000 جنيه",,3,2,140,30.470849,31.181699,N/A,N/A
https://aqarmap.com.eg/ar/listing/6623492-for-sale-alexandria-sporting-omar-lotfy-st/,"4,500,000 جنيه",,3,2,135,31.220697,29.929258,6,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6627044-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-djlh-blmz-m-mr-lmrshdy/,"1,100,000 جنيه",القاهرة الكبرى / كمبوند دجلة بالمز - معمار المرشدي,2,1,120,29.891543,30.918027,2,نصف تشطيب
